date,close,high,low,volume
2024-04-15,152.50,154.80,151.20,8500000
2024-04-16,154.20,156.00,153.00,7800000
2024-04-17,155.80,157.50,154.00,9200000
2024-04-18,153.50,156.00,152.50,7200000
2024-04-19,156.80,158.50,154.50,10500000
2024-04-22,155.20,157.00,153.80,8100000
2024-04-23,158.50,160.20,156.00,11200000
2024-04-24,157.80,159.50,156.50,9800000
2024-04-25,159.50,161.20,158.00,12500000
2024-04-26,161.20,162.80,159.80,11800000
2024-04-29,159.80,161.50,158.50,9500000
2024-04-30,158.50,160.00,157.00,8800000
2024-05-06,160.20,162.00,159.00,10800000
2024-05-07,162.50,164.20,160.80,13200000
2024-05-08,161.80,163.50,160.50,11500000
2024-05-09,160.50,162.50,159.50,9200000
2024-05-10,163.20,165.00,161.00,14500000
2024-05-13,164.80,166.50,163.00,13800000
2024-05-14,166.50,168.20,165.00,15200000
2024-05-15,165.80,167.50,164.50,12800000
2024-05-16,164.20,166.00,163.00,10500000
2024-05-17,167.50,169.20,165.50,16500000
2024-05-20,168.80,170.50,167.00,17200000
2024-05-21,167.20,169.00,166.00,13500000
2024-05-22,169.50,171.20,168.00,18500000
2024-05-23,171.20,173.00,170.00,19800000
2024-05-24,170.50,172.50,169.00,15500000
2024-05-27,172.80,174.50,171.00,20500000
2024-05-28,174.50,176.20,173.00,21800000
2024-05-29,175.80,177.50,174.50,23500000
2024-05-30,177.20,179.00,176.00,24800000
2024-05-31,178.50,180.20,177.00,26200000
